,name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365,room_Entire home/apt,room_Hotel room,room_Private room,room_Shared room,price_category,review_day,review_month,review_year
4892,ABS The Cafe Hostel,Jureeporn,Bang Khae,13.74139,100.37617,Hotel room,750,1,1,2,90,False,True,False,False,Low,18,2,2020
4893,Warm room in quiet area with loft interior design,Thanawat,Khlong San,13.72184,100.51098,Hotel room,1329,1,11,6,282,False,True,False,False,Medium,18,11,2022
4894,Porch house,Penprapa,Saphan Sung,13.78074,100.6926,Entire home/apt,3500,3,0,2,363,True,False,False,False,High,11,12,2022
4895,Relax at Onnut Station,Veerapat,Suanluang,13.71007,100.60471,Entire home/apt,650,4,32,1,298,True,False,False,False,Low,14,12,2022
4896,Junior Ensuite,Peace,Pom Prap Sattru Phai,13.74736,100.50943,Hotel room,700,1,5,10,0,False,True,False,False,Low,16,3,2019
4897,The mushroom - Tomato Juice on the 5th flr, Anumart,Ratchathewi,13.75698,100.52918,Private room,420,2,44,2,348,False,False,True,False,Low,7,12,2022
4898,Lovely - 3 bedroom condo in the heart of downtown,Gurveer,Khlong Toei,13.732760606703778,100.56284252554178,Entire home/apt,1758,1,15,1,61,True,False,False,False,Medium,23,12,2022
4900,The Niche Mono Bangna Phrase2 Building D,Pattaraporn,Bang Na,13.66417,100.63619,Private room,800,2,0,1,90,False,False,True,False,Low,11,12,2022
4901,Daneehostel,น.ส.ดาณี,Bang Rak,13.72077,100.52169,Private room,700,1,1,17,180,False,False,True,False,Low,20,3,2019
4902,2 BR❤Near BTS Phromphong❤Downtown❤Emporium/si,B,Vadhana,13.74012,100.57224,Entire home/apt,3866,2,8,16,171,True,False,False,False,High,2,12,2022
4903,Aspire sathorn thapra,Manoj,Thon buri,13.71586,100.47937,Private room,700,14,3,1,364,False,False,True,False,Low,22,7,2018
4904,HOB 201,Chanchai,Bang Khae,13.74078,100.3652,Private room,2500,3,0,3,365,False,False,True,False,High,11,12,2022
4905,HOB 203,Chanchai,Bang Khae,13.74046,100.3651,Private room,2300,3,0,3,365,False,False,True,False,High,11,12,2022
4906,"Luxury Privacy,Sukhumvit 77 BKK BTS-WiFi-Netflix",Kittipa,Vadhana,13.7071,100.60524,Entire home/apt,1250,1,16,1,330,True,False,False,False,Medium,15,5,2020
4907,"Great view and large balcony
All new furnished",Chalochinee,Suanluang,13.73486,100.64684,Private room,4500,1,0,1,181,False,False,True,False,High,11,12,2022
4908,Rooms Double Beds Apartment,Woranuch,Bang Phlat,13.77762,100.4877,Private room,1351,1,4,1,179,False,False,True,False,Medium,27,10,2018
4910,"2 mins walk to MRT, nearby Wat Arun",Ormmie,Bangkok Yai,13.73885,100.48379,Hotel room,1700,1,0,5,364,False,True,False,False,Medium,11,12,2022
4911,MSI Garden III,Sivarat,Vadhana,13.72385,100.57989,Private room,1385,2,0,1,90,False,False,True,False,Medium,11,12,2022
4912,The Residence Airport & Spa,Yongyut,Pra Wet,13.67562,100.65914,Private room,945,1,2,1,365,False,False,True,False,Low,21,3,2019
4916,Brand New Studio/3Min to Sky Train (Nana Station),Panitchaya,Khlong Toei,13.73911,100.55377,Hotel room,6413,1,1,22,0,False,True,False,False,High,8,10,2019
4917,ICE RESIDENCE,เชิญชัย,Lat Krabang,13.72076,100.78574,Private room,1200,1,0,1,180,False,False,True,False,Medium,11,12,2022
4918,Richie's place,Jack,Vadhana,13.73821,100.58499,Private room,5000,1,0,1,173,False,False,True,False,High,11,12,2022
4919,Juladis Tower,Pep,Ratchathewi,13.75192,100.53903,Private room,2100,1,16,1,178,False,False,True,False,High,1,1,2020
4922,Chateau in town ratchada 36,Wichittra,Chatu Chak,13.81632,100.5804,Private room,1100,4,0,1,90,False,False,True,False,Medium,11,12,2022
4924,"Stay Monomer, the ideal location (12 Mixed) 01",Off,Ratchathewi,13.75284,100.53124,Shared room,400,1,3,24,363,False,False,False,True,Low,19,1,2020
4926,Best Price/Sukhumvit/BTS Phrom Phong 5min/window,Ayano,Vadhana,13.73045,100.57394,Private room,479,1,60,3,56,False,False,True,False,Low,15,12,2022
4927,U delight Ratchavipha @Viphavadirangsit Road,Chadabhorn,Chatu Chak,13.82794,100.5564,Private room,1650,3,0,1,365,False,False,True,False,Medium,11,12,2022
4928,private room surrounded by street food,Mp,Din Daeng,13.77277,100.55813,Private room,454,1,21,1,349,False,False,True,False,Low,6,12,2022
4929,【以梦为马】【小花田】邻近抖音网红火车（拉差达）夜市/曼谷辉煌地铁站三分钟—小清新居所,Lanping,Huai Khwang,13.78142,100.57568,Entire home/apt,1139,1,107,18,365,True,False,False,False,Medium,11,3,2020
4932,"Stay Monomer, the ideal location (12 Mixed) 02",Off,Ratchathewi,13.74886,100.5444,Shared room,400,1,1,24,362,False,False,False,True,Low,25,9,2022
4933,SunShine Condominium Bangna,Rudolf,Bang Na,13.66444,100.63297,Entire home/apt,1500,1,3,4,365,True,False,False,False,Medium,9,7,2018
4934,The clover Thonglor,Jib,Vadhana,13.73303,100.58351,Private room,1700,1,0,1,90,False,False,True,False,Medium,11,12,2022
4935,Pratunam market/shopping area暹罗中心/四面佛/夜市/美食街,Paniss And Penny,Ratchathewi,13.75147,100.53965,Entire home/apt,1450,2,42,10,0,True,False,False,False,Medium,1,3,2020
4936,Midsummer Night Hostel 床位房（4人间）/Mix Room (4 beds),Xiaoxun,Din Daeng,13.76308,100.56604,Shared room,1000,1,0,7,364,False,False,False,True,Low,11,12,2022
4937,Nana's Place,Rudolf,Phra Khanong,13.68581,100.61877,Private room,1200,1,2,4,365,False,False,True,False,Medium,16,2,2019
4938,Nana's Place,Rudolf,Phra Khanong,13.70288,100.59938,Private room,1000,1,5,4,365,False,False,True,False,Low,26,2,2019
4939,ฺBangkok Sanookdee (room for 4),Noparat,Khlong San,13.7226,100.49901,Hotel room,1298,1,1,5,162,False,True,False,False,Medium,11,11,2018
4940,Quiet oasis in sukhumvit with Pool,Matthew,Khlong Toei,13.71571,100.57989,Private room,1000,7,0,1,0,False,False,True,False,Low,11,12,2022
4941,The Glass House,Viriya,Saphan Sung,13.77405,100.67764,Private room,800,1,1,1,365,False,False,True,False,Low,5,6,2018
4943,บ้าน ณ สยาม  Ban Na Siam,Akhakit,Wang Thong Lang,13.78283,100.6181,Private room,500,1,1,1,364,False,False,True,False,Low,28,7,2019
